"id","active","name","vat","state_id/id","country_id/id","city","zip","street","email","phone","website"
"demo_company_lt","False","LT Company","LT949170611","","lt","Vilnius","02188","Išvykimas","info@company.ltexample.com","+370 612 34567","http://www.ltexample.com"
"demo_company_lu","False","LU Company","LU75425064","","lu","Clervaux","9839","A","info@company.luexample.com","+352 628 123 456","http://www.luexample.com"
"demo_company_lv","False","LV Company","","","lv","Rīga","LV-1010","Mana iela","info@uznemums.lv","+371 20 00 00 00","http://www.uznemums.lv"
"l10n_ma_demo_company_company","False","MA Company","","","ma","Marrakesh","40130","Av. El Idrissi","info@company.maexample.com","+976 8812 3456","http://www.maexample.com"
"demo_company_mn","False","MN Company","","state_mn_35","mn","Улаанбаатар","16092","Ард Аюушийн өргөн чөлөө","info@company.mnexample.com","+976 8812 3456","http://www.mnexample.com"
"demo_company_mx","False","ESCUELA KEMPER URGATE","EKU9003173C9","state_mx_ags","mx","Jesús María","20928","Campobasso Norte 3206 - 9000","info@company.mxexample.com","+52 222 123 4567","http://www.mxexample.com"
"demo_company_my","False","MY Company","MY647828492048102","state_my_kul","my","Kuala Lumpur","50300","1 Wisma Dato Dagang","info@company.myexample.com","+60 0326921917","http://www.myexample.com"
"demo_company_mz","False","MZ Company","530781296","","mz","Niassa Province","6343","692 Eileen Knoll","info@example.mz","+258 78 123 45 67","http://www.example.mz"
"demo_company_nl","False","NL Company","NL219987701B73","state_nl_gr","nl","Groningen","9700","Bloemstraat 42","info@company.nlexample.com","+31 6 12345678","http://www.nlexample.com"
"demo_company_no","False","NO Company","NO072274687MVA","","no","Åmot","","","info@company.noexample.com","+47 406 12 345","http://www.noexample.com"
"demo_company_nz","False","NZ Company","49098576","state_nz_wtc","nz","Hamilton","3247","Victoria Street","info@company.nzexample.com","+64 21 123 4567","http://www.nzexample.com"
"demo_company_pa","False","PA Company","PA770023598","","pa","San Miguelito","84365","Entrada Urbanización El Bosque","info@company.paexample.com","+507 655-5911-9","http://www.paexample.com"
"demo_company_pe","False","PE Company","20557912879","state_pe_25","pe","Chorrillos","15067","Calle Las Tortugas","info@company.peexample.com","+51 912 345 678","http://www.peexample.com"
"demo_company_ph","False","PH Company","123-456-789-01234","","ph","Manila","1001","Quezon Blvd","info@company.phexample.com","+63 45 187 7808","http://www.phexample.com"
"demo_company_pk","False","PK Company","","","pk","Karachi","","38st Floor, Saddar, Sindh","hih3l5npkwl@temporary-mail.net","+92215684711","http://www.pkexample.com"
"demo_company_pl","False","PL Company","PL5795955811","","pl","Racibórz","47-400","","info@company.plexample.com","+48 512 345 678","http://www.plexample.com"
"demo_company_pt","False","PT Company","PT552091561","","pt","Lisboa","1000-001","25 Avenida da Liberdade","info@company.ptexample.com","+35162871912","http://www.ptexample.com"
"demo_company_ro","False","RO Company","RO65379","RO_VS","ro","București","040237","Bulevardul Dimitrie Cantemir","info@company.roexample.com","+40 712 034 567","http://www.roexample.com"
"demo_company_rs","False","RS Company","","","rs","Beograd","110000","Pasterova 2","info@company.rsexample.com","+381 01 2345678","http://www.rsexample.com"
"demo_company_sa","False","SA Company","310175397400003","state_sa_70","sa","المدينة المنورة","42317","Al Amir Mohammed Bin Abdul Aziz Street","info@company.saexample.com","+966 51 234 5678","http://www.saexample.com"
"demo_company_se","False","SE Company","SE810354746201","","se","Ängelholms kommun","262 64","","info@company.seexample.com","+46 70 123 45 67","http://www.seexample.com"
"demo_company_sg","False","SG Company","197401143C","","sg","Central Singapore","248048","Tyersall Avenue","info@company.sg.example.com","+65 9123 4567","http://www.sg.example.com"
"demo_company_si","False","SI Company","SI33331464","","si","Ljubljana","1102","39 Jamova cesta","info@company.siexample.com","+386 31 234 567","http://www.siexample.com"
"demo_company_sk","False","SK Company","SK2022749619","","sk","Bratislava","821 09","Prievozská","info@company.skexample.com","+421 5 12 34 56 78","http://www.skexample.com"
"demo_company_syscohada","False","SN Company","0001462 2G3","","sn","Dakar","10200","Rue SC 98","info@company.syscohadaexample.com","+963 944 567 890","http://www.syscohadaexample.com"
"demo_company_th","False","TH Company","","","th","บ้านสันทราย","50220","A5","info@company.thexample.com","+66 81 234 5678","http://www.thexample.com"
"demo_company_tn","False","TN Company","12121212121212","","tn","Tunis","50220","Rue du Centre","info@company.thexample.com","","http://www.thexample.com"
"demo_company_tr","False","TR Company","3297552117","state_tr_81","tr","İç Anadolu Bölgesi","06810","3281. Cadde","info@company.trexample.com","+90 501 234 56 78","http://www.trexample.com"
"demo_company_tw","False","TW Company","","state_tw_tpc","tw","","110","信義路","info@company.twexample.com","+886 2 1234 5678","http://www.twexample.com"
"demo_company_ua","False","UA Company","","","ua","Київ","01133","10/2 Мечникова вулиця","info@company.uaexample.com","+380 50 123 4567","http://www.uaexample.com"
"demo_company_uk","False","UK Company","","state_uk119","uk","","","","info@company.ukexample.com","+32 010 12 34 56","http://www.ukexample.com"
"demo_company_uy","False","UY Company","UY130551600010","","uy","Montevideo","12800","","info@company.uyexample.com","+598 94 231 234","http://www.uyexample.com"
"demo_company_ve","False","VE Company","J770023598","","ve","Maracaibo","4032","a","info@company.veexample.com","+58 412-1234567","http://www.veexample.com"
"demo_company_vn","False","VN Company","","state_vn_VN-06","vn","Phường Bảo Vinh","76463","Lê A","info@company.vnexample.com","+84 91 234 56 78","http://www.vnexample.com"
"demo_company_za","False","ZA Company","","state_za_wc","za","Cape Town","7845","A","info@company.zaexample.com","+27 71 123 4567","http://www.zaexample.com"
