"id","code","name","user_type_id/id","reconcile","chart_template_id/id"
"68500_agriculture","68500","Uniforms","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_agriculture"
"68800_agriculture","68800","Veterinary, Breeding, Medicine","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_agriculture"
"24600_construction_trades","24600","Customer Deposits Received","account.data_account_type_current_liabilities","FALSE","l10n_us.account_chart_template_construction"
"45100_construction_trades","45100","Job Income","account.data_account_type_revenue","FALSE","l10n_us.account_chart_template_construction"
"50800_construction_trades","50800","Commissions Paid","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_construction"
"51400_construction_trades","51400","Equipment Rental for Jobs","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_construction"
"51800_construction_trades","51800","Job Materials Purchased","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_construction"
"52000_construction_trades","52000","Merchant Account Fees","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_construction"
"53800_construction_trades","53800","Subcontractors Expense","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_construction"
"54100_construction_trades","54100","Tools and Small Equipment","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_construction"
"48000_financial_services","42800","Service Income","account.data_account_type_revenue","FALSE","l10n_us.account_chart_template_financial_service"
"47900_general_service","47900","Sales","account.data_account_type_revenue","FALSE","l10n_us.account_chart_template_general_service"
"10900_legal_services","10900","Client Trust Account","account.data_account_type_current_assets","False","l10n_us.account_chart_template_legal_service"
"12300_legal_services","12300","Advanced Client Costs","account.data_account_type_current_assets","False","l10n_us.account_chart_template_legal_service"
"12310_legal_services","12310","Court Costs","account.data_account_type_current_assets","False","l10n_us.account_chart_template_legal_service"
"12320_legal_services","12320","Expert Witness Fees","account.data_account_type_current_assets","False","l10n_us.account_chart_template_legal_service"
"12330_legal_services","12330","Filing Fees","account.data_account_type_current_assets","False","l10n_us.account_chart_template_legal_service"
"18700_legal_services","18700","Security Deposits Asset","account.data_account_type_current_assets","False","l10n_us.account_chart_template_legal_service"
"41100_legal_services","41100","Administrative Fees","account.data_account_type_revenue","False","l10n_us.account_chart_template_legal_service"
"45400_legal_services","45400","Legal Fee Income","account.data_account_type_revenue","False","l10n_us.account_chart_template_legal_service"
"48800_legal_services","48800","Settlement Income","account.data_account_type_revenue","False","l10n_us.account_chart_template_legal_service"
"47900_general_product","47910","Sales","account.data_account_type_revenue","False","l10n_us.account_chart_template_general_product"
"48300_general_product","48310","Sales Discounts","account.data_account_type_revenue","False","l10n_us.account_chart_template_general_product"
"48900_general_product","48900","Shipping and Delivery Income","account.data_account_type_revenue","False","l10n_us.account_chart_template_general_product"
"51100_general_product","51100","Freight and Shipping Costs","account.data_account_type_expenses","False","l10n_us.account_chart_template_general_product"
"52500_general_product","52500","Purchase Discounts","account.data_account_type_expenses","False","l10n_us.account_chart_template_general_product"
"52900_general_product","52900","Purchases - Resale Items","account.data_account_type_expenses","False","l10n_us.account_chart_template_general_product"
"base_miscincome","49000","Miscellaneous Income","account.data_account_type_revenue","False","l10n_us.account_chart_template_basic"
"base_miscexpense","69000","Miscellaneous Expense","account.data_account_type_expenses","False","l10n_us.account_chart_template_basic"
"69100","69100","Loss Account","account.data_account_type_expenses","False","l10n_us.account_chart_template_basic"
"70600","70600","Gain Account","account.data_account_type_other_income","False","l10n_us.account_chart_template_basic"
